words,pos_likelihood,neg_likelihood
captivate,0.01,0.0
captivating,0.01,0.0
carefree,0.01,0.0
cashback,0.01,0.0
cashbacks,0.01,0.0
catchy,0.01,0.0
celebrate,0.01,0.0
celebrated,0.01,0.0
celebration,0.01,0.0
celebratory,0.01,0.0
champ,0.01,0.0
champion,0.01,0.0
charisma,0.01,0.0
charismatic,0.01,0.0
charitable,0.01,0.0
charm,0.01,0.0
charming,0.01,0.0
charmingly,0.01,0.0
chaste,0.01,0.0
cheaper,0.01,0.0
cheapest,0.01,0.0
cheer,0.01,0.0
cheerful,0.01,0.0
cheery,0.01,0.0
cherish,0.01,0.0
cherished,0.01,0.0
cherub,0.01,0.0
chic,0.01,0.0
chivalrous,0.01,0.0
chivalry,0.01,0.0
civility,0.01,0.0
civilize,0.01,0.0
clarity,0.01,0.0
classic,0.01,0.0
classy,0.01,0.0
clean,0.01,0.0
cleaner,0.01,0.0
cleanest,0.01,0.0
cleanliness,0.01,0.0
cleanly,0.01,0.0
clear,0.01,0.0
clear-cut,0.01,0.0
cleared,0.01,0.0
clearer,0.01,0.0
clearly,0.01,0.0
clears,0.01,0.0
clever,0.01,0.0
cleverly,0.01,0.0
cohere,0.01,0.0
coherence,0.01,0.0
coherent,0.01,0.0
cohesive,0.01,0.0
colorful,0.01,0.0
comely,0.01,0.0
comfort,0.01,0.0
comfortable,0.01,0.0
comfortably,0.01,0.0
comforting,0.01,0.0
comfy,0.01,0.0
commend,0.01,0.0
commendable,0.01,0.0
commendably,0.01,0.0
commitment,0.01,0.0
commodious,0.01,0.0
compact,0.01,0.0
compactly,0.01,0.0
compassion,0.01,0.0
compassionate,0.01,0.0
compatible,0.01,0.0
competitive,0.01,0.0
complement,0.01,0.0
complementary,0.01,0.0
complemented,0.01,0.0
complements,0.01,0.0
compliant,0.01,0.0
compliment,0.01,0.0
complimentary,0.01,0.0
comprehensive,0.01,0.0
conciliate,0.01,0.0
conciliatory,0.01,0.0
concise,0.01,0.0
confidence,0.01,0.0
confident,0.01,0.0
congenial,0.01,0.0
congratulate,0.01,0.0
congratulation,0.01,0.0
congratulations,0.01,0.0
congratulatory,0.01,0.0
conscientious,0.01,0.0
considerate,0.01,0.0
consistent,0.01,0.0
consistently,0.01,0.0
constructive,0.01,0.0
consummate,0.01,0.0
contentment,0.01,0.0
continuity,0.01,0.0
contrasty,0.01,0.0
contribution,0.01,0.0
convenience,0.01,0.0
convenient,0.01,0.0
conveniently,0.01,0.0
convience,0.01,0.0
convienient,0.01,0.0
convient,0.01,0.0
convincing,0.01,0.0
convincingly,0.01,0.0
cool,0.01,0.0
coolest,0.01,0.0
cooperative,0.01,0.0
cooperatively,0.01,0.0
cornerstone,0.01,0.0
correct,0.01,0.0
correctly,0.01,0.0
cost-effective,0.01,0.0
cost-saving,0.01,0.0
counter-attack,0.01,0.0
counter-attacks,0.01,0.0
courage,0.01,0.0
courageous,0.01,0.0
courageously,0.01,0.0
courageousness,0.01,0.0
courteous,0.01,0.0
courtly,0.01,0.0
covenant,0.01,0.0
cozy,0.01,0.0
creative,0.01,0.0
credence,0.01,0.0
credible,0.01,0.0
crisp,0.01,0.0
crisper,0.01,0.0
cure,0.01,0.0
cure-all,0.01,0.0
cushy,0.01,0.0
cute,0.01,0.0
cuteness,0.01,0.0
danke,0.01,0.0
danken,0.01,0.0
daring,0.01,0.0
daringly,0.01,0.0
darling,0.01,0.0
dashing,0.01,0.0
dauntless,0.01,0.0
dawn,0.01,0.0
dazzle,0.01,0.0
dazzled,0.01,0.0
dazzling,0.01,0.0
dead-cheap,0.01,0.0
dead-on,0.01,0.0
decency,0.01,0.0
decent,0.01,0.0
decisive,0.01,0.0
decisiveness,0.01,0.0
dedicated,0.01,0.0
defeat,0.01,0.0
defeated,0.01,0.0
defeating,0.01,0.0
defeats,0.01,0.0
defender,0.01,0.0
deference,0.01,0.0
deft,0.01,0.0
deginified,0.01,0.0
delectable,0.01,0.0
delicacy,0.01,0.0
delicate,0.01,0.0
delicious,0.01,0.0
delight,0.01,0.0
delighted,0.01,0.0
delightful,0.01,0.0
delightfully,0.01,0.0
delightfulness,0.01,0.0
dependable,0.01,0.0
dependably,0.01,0.0
deservedly,0.01,0.0
deserving,0.01,0.0
desirable,0.01,0.0
desiring,0.01,0.0
desirous,0.01,0.0
destiny,0.01,0.0
detachable,0.01,0.0
devout,0.01,0.0
dexterous,0.01,0.0
dexterously,0.01,0.0
dextrous,0.01,0.0
dignified,0.01,0.0
dignify,0.01,0.0
dignity,0.01,0.0
diligence,0.01,0.0
diligent,0.01,0.0
diligently,0.01,0.0
diplomatic,0.01,0.0
dirt-cheap,0.01,0.0
distinction,0.01,0.0
distinctive,0.01,0.0
distinguished,0.01,0.0
diversified,0.01,0.0
divine,0.01,0.0
divinely,0.01,0.0
dominate,0.01,0.0
dominated,0.01,0.0
dominates,0.01,0.0
dote,0.01,0.0
dotingly,0.01,0.0
doubtless,0.01,0.0
dreamland,0.01,0.0
dumbfounded,0.01,0.0
dumbfounding,0.01,0.0
dummy-proof,0.01,0.0
durable,0.01,0.0
dynamic,0.01,0.0
eager,0.01,0.0
eagerly,0.01,0.0
eagerness,0.01,0.0
earnest,0.01,0.0
earnestly,0.01,0.0
earnestness,0.01,0.0
ease,0.01,0.0
eased,0.01,0.0
eases,0.01,0.0
easier,0.01,0.0
easiest,0.01,0.0
easiness,0.01,0.0
easing,0.01,0.0
easy,0.01,0.0
easy-to-use,0.01,0.0
easygoing,0.01,0.0
ebullience,0.01,0.0
ebullient,0.01,0.0
ebulliently,0.01,0.0
ecenomical,0.01,0.0
economical,0.01,0.0
ecstasies,0.01,0.0
ecstasy,0.01,0.0
ecstatic,0.01,0.0
ecstatically,0.01,0.0
edify,0.01,0.0
educated,0.01,0.0
effective,0.01,0.0
effectively,0.01,0.0
effectiveness,0.01,0.0
effectual,0.01,0.0
efficacious,0.01,0.0
efficient,0.01,0.0
efficiently,0.01,0.0
effortless,0.01,0.0
effortlessly,0.01,0.0
effusion,0.01,0.0
effusive,0.01,0.0
effusively,0.01,0.0
effusiveness,0.01,0.0
elan,0.01,0.0
elate,0.01,0.0
elated,0.01,0.0
elatedly,0.01,0.0
elation,0.01,0.0
electrify,0.01,0.0
elegance,0.01,0.0
elegant,0.01,0.0
elegantly,0.01,0.0
elevate,0.01,0.0
elite,0.01,0.0
eloquence,0.01,0.0
eloquent,0.01,0.0
eloquently,0.01,0.0
embolden,0.01,0.0
eminence,0.01,0.0
eminent,0.01,0.0
empathize,0.01,0.0
empathy,0.01,0.0
empower,0.01,0.0
empowerment,0.01,0.0
enchant,0.01,0.0
enchanted,0.01,0.0
enchanting,0.01,0.0
enchantingly,0.01,0.0
encourage,0.01,0.0
encouragement,0.01,0.0
encouraging,0.01,0.0
encouragingly,0.01,0.0
endear,0.01,0.0
endearing,0.01,0.0
endorse,0.01,0.0
endorsed,0.01,0.0
endorsement,0.01,0.0
endorses,0.01,0.0
endorsing,0.01,0.0
energetic,0.01,0.0
energize,0.01,0.0
energy-efficient,0.01,0.0
energy-saving,0.01,0.0
engaging,0.01,0.0
engrossing,0.01,0.0
enhance,0.01,0.0
enhanced,0.01,0.0
enhancement,0.01,0.0
enhances,0.01,0.0
enjoy,0.01,0.0
enjoyable,0.01,0.0
enjoyably,0.01,0.0
enjoyed,0.01,0.0
enjoying,0.01,0.0
enjoyment,0.01,0.0
enjoys,0.01,0.0
enlighten,0.01,0.0
enlightenment,0.01,0.0
enliven,0.01,0.0
ennoble,0.01,0.0
enough,0.01,0.0
enrapt,0.01,0.0
enrapture,0.01,0.0
enraptured,0.01,0.0
enrich,0.01,0.0
enrichment,0.01,0.0
enterprising,0.01,0.0
entertain,0.01,0.0
entertaining,0.01,0.0
entertains,0.01,0.0
enthral,0.01,0.0
enthrall,0.01,0.0
enthralled,0.01,0.0
enthuse,0.01,0.0
enthusiasm,0.01,0.0
enthusiast,0.01,0.0
enthusiastic,0.01,0.0
enthusiastically,0.01,0.0
entice,0.01,0.0
enticed,0.01,0.0
enticing,0.01,0.0
enticingly,0.01,0.0
entranced,0.01,0.0
entrancing,0.01,0.0
entrust,0.01,0.0
enviable,0.01,0.0
enviably,0.01,0.0
envious,0.01,0.0
enviously,0.01,0.0
enviousness,0.01,0.0
envy,0.01,0.0
equitable,0.01,0.0
ergonomical,0.01,0.0
err-free,0.01,0.0
erudite,0.01,0.0
ethical,0.01,0.0
eulogize,0.01,0.0
euphoria,0.01,0.0
euphoric,0.01,0.0
euphorically,0.01,0.0
evaluative,0.01,0.0
evenly,0.01,0.0
eventful,0.01,0.0
everlasting,0.01,0.0
evocative,0.01,0.0
exalt,0.01,0.0
exaltation,0.01,0.0
exalted,0.01,0.0
exaltedly,0.01,0.0
exalting,0.01,0.0
exaltingly,0.01,0.0
examplar,0.01,0.0
examplary,0.01,0.0
excallent,0.01,0.0
exceed,0.01,0.0
exceeded,0.01,0.0
exceeding,0.01,0.0
exceedingly,0.01,0.0
exceeds,0.01,0.0
excel,0.01,0.0
exceled,0.01,0.0
excelent,0.01,0.0
excellant,0.01,0.0
excelled,0.01,0.0
excellence,0.01,0.0
excellency,0.01,0.0
excellent,0.01,0.0
excellently,0.01,0.0
excels,0.01,0.0
exceptional,0.01,0.0
exceptionally,0.01,0.0
excite,0.01,0.0
excited,0.01,0.0
excitedly,0.01,0.0
excitedness,0.01,0.0
excitement,0.01,0.0
excites,0.01,0.0
exciting,0.01,0.0
excitingly,0.01,0.0
exellent,0.01,0.0
exemplar,0.01,0.0
exemplary,0.01,0.0
exhilarate,0.01,0.0
exhilarating,0.01,0.0
exhilaratingly,0.01,0.0
exhilaration,0.01,0.0
exonerate,0.01,0.0
expansive,0.01,0.0
expeditiously,0.01,0.0
expertly,0.01,0.0
exquisite,0.01,0.0
exquisitely,0.01,0.0
extol,0.01,0.0
extoll,0.01,0.0
extraordinarily,0.01,0.0
extraordinary,0.01,0.0
exuberance,0.01,0.0
exuberant,0.01,0.0
exuberantly,0.01,0.0
exult,0.01,0.0
exultant,0.01,0.0
exultation,0.01,0.0
exultingly,0.01,0.0
eye-catch,0.01,0.0
eye-catching,0.01,0.0
eyecatch,0.01,0.0
eyecatching,0.01,0.0
fabulous,0.01,0.0
fabulously,0.01,0.0
facilitate,0.01,0.0
fair,0.01,0.0
fairly,0.01,0.0
fairness,0.01,0.0
faith,0.01,0.0
faithful,0.01,0.0
faithfully,0.01,0.0
faithfulness,0.01,0.0
fame,0.01,0.0
famed,0.01,0.0
famous,0.01,0.0
famously,0.01,0.0
fancier,0.01,0.0
fancinating,0.01,0.0
fancy,0.01,0.0
fanfare,0.01,0.0
fans,0.01,0.0
fantastic,0.01,0.0
fantastically,0.01,0.0
fascinate,0.01,0.0
fascinating,0.01,0.0
fascinatingly,0.01,0.0
fascination,0.01,0.0
fashionable,0.01,0.0
fashionably,0.01,0.0
fast,0.01,0.0
fast-growing,0.01,0.0
fast-paced,0.01,0.0
faster,0.01,0.0
fastest,0.01,0.0
fastest-growing,0.01,0.0
faultless,0.01,0.0
fav,0.01,0.0
fave,0.01,0.0
favor,0.01,0.0
favorable,0.01,0.0
favored,0.01,0.0
favorite,0.01,0.0
favorited,0.01,0.0
favour,0.01,0.0
fearless,0.01,0.0
fearlessly,0.01,0.0
feasible,0.01,0.0
feasibly,0.01,0.0
feat,0.01,0.0
feature-rich,0.01,0.0
fecilitous,0.01,0.0
feisty,0.01,0.0
felicitate,0.01,0.0
felicitous,0.01,0.0
felicity,0.01,0.0
fertile,0.01,0.0
fervent,0.01,0.0
fervently,0.01,0.0
fervid,0.01,0.0
fervidly,0.01,0.0
fervor,0.01,0.0
festive,0.01,0.0
fidelity,0.01,0.0
fiery,0.01,0.0
fine,0.01,0.0
fine-looking,0.01,0.0
finely,0.01,0.0
finer,0.01,0.0
finest,0.01,0.0
firmer,0.01,0.0
first-class,0.01,0.0
first-in-class,0.01,0.0
first-rate,0.01,0.0
flashy,0.01,0.0
flatter,0.01,0.0
flattering,0.01,0.0
flatteringly,0.01,0.0
flawless,0.01,0.0
flawlessly,0.01,0.0
flexibility,0.01,0.0
flexible,0.01,0.0
flourish,0.01,0.0
flourishing,0.01,0.0
fluent,0.01,0.0
flutter,0.01,0.0
fond,0.01,0.0
fondly,0.01,0.0
fondness,0.01,0.0
foolproof,0.01,0.0
foremost,0.01,0.0
foresight,0.01,0.0
formidable,0.01,0.0
fortitude,0.01,0.0
fortuitous,0.01,0.0
fortuitously,0.01,0.0
fortunate,0.01,0.0
fortunately,0.01,0.0
fortune,0.01,0.0
fragrant,0.01,0.0
free,0.01,0.0
freed,0.01,0.0
freedom,0.01,0.0
freedoms,0.01,0.0
fresh,0.01,0.0
fresher,0.01,0.0
freshest,0.01,0.0
friendliness,0.01,0.0
friendly,0.01,0.0
frolic,0.01,0.0
frugal,0.01,0.0
fruitful,0.01,0.0
ftw,0.01,0.0
fulfillment,0.01,0.0
fun,0.01,0.0
futurestic,0.01,0.0
futuristic,0.01,0.0
gaiety,0.01,0.0
gaily,0.01,0.0
gain,0.01,0.0
gained,0.01,0.0
gainful,0.01,0.0
gainfully,0.01,0.0
gaining,0.01,0.0
gains,0.01,0.0
gallant,0.01,0.0
gallantly,0.01,0.0
galore,0.01,0.0
geekier,0.01,0.0
geeky,0.01,0.0
gem,0.01,0.0
gems,0.01,0.0
generosity,0.01,0.0
generous,0.01,0.0
generously,0.01,0.0
genial,0.01,0.0
genius,0.01,0.0
gentle,0.01,0.0
gentlest,0.01,0.0
genuine,0.01,0.0
gifted,0.01,0.0
glad,0.01,0.0
gladden,0.01,0.0
gladly,0.01,0.0
gladness,0.01,0.0
glamorous,0.01,0.0
glee,0.01,0.0
gleeful,0.01,0.0
gleefully,0.01,0.0
glimmer,0.01,0.0
glimmering,0.01,0.0
glisten,0.01,0.0
glistening,0.01,0.0
glitter,0.01,0.0
glitz,0.01,0.0
glorify,0.01,0.0
glorious,0.01,0.0
gloriously,0.01,0.0
glory,0.01,0.0
glow,0.01,0.0
glowing,0.01,0.0
glowingly,0.01,0.0
god-given,0.01,0.0
god-send,0.01,0.0
godlike,0.01,0.0
godsend,0.01,0.0
gold,0.01,0.0
golden,0.01,0.0
good,0.01,0.0
goodly,0.01,0.0
goodness,0.01,0.0
goodwill,0.01,0.0
goood,0.01,0.0
gooood,0.01,0.0
gorgeous,0.01,0.0
gorgeously,0.01,0.0
grace,0.01,0.0
graceful,0.01,0.0
gracefully,0.01,0.0
gracious,0.01,0.0
graciously,0.01,0.0
graciousness,0.01,0.0
grand,0.01,0.0
grandeur,0.01,0.0
grateful,0.01,0.0
gratefully,0.01,0.0
gratification,0.01,0.0
gratified,0.01,0.0
gratifies,0.01,0.0
gratify,0.01,0.0
gratifying,0.01,0.0
gratifyingly,0.01,0.0
gratitude,0.01,0.0
great,0.01,0.0
greatest,0.01,0.0
greatness,0.01,0.0
grin,0.01,0.0
groundbreaking,0.01,0.0
guarantee,0.01,0.0
guidance,0.01,0.0
guiltless,0.01,0.0
gumption,0.01,0.0
gush,0.01,0.0
gusto,0.01,0.0
gutsy,0.01,0.0
hail,0.01,0.0
halcyon,0.01,0.0
hale,0.01,0.0
hallmark,0.01,0.0
hallmarks,0.01,0.0
hallowed,0.01,0.0
handier,0.01,0.0
handily,0.01,0.0
hands-down,0.01,0.0
handsome,0.01,0.0
handsomely,0.01,0.0
handy,0.01,0.0
happier,0.01,0.0
happily,0.01,0.0
happiness,0.01,0.0
happy,0.01,0.0
hard-working,0.01,0.0
hardier,0.01,0.0
hardy,0.01,0.0
harmless,0.01,0.0
harmonious,0.01,0.0
harmoniously,0.01,0.0
harmonize,0.01,0.0
harmony,0.01,0.0
headway,0.01,0.0
heal,0.01,0.0
healthful,0.01,0.0
healthy,0.01,0.0
hearten,0.01,0.0
heartening,0.01,0.0
heartfelt,0.01,0.0
heartily,0.01,0.0
heartwarming,0.01,0.0
heaven,0.01,0.0
heavenly,0.01,0.0
helped,0.01,0.0
helpful,0.01,0.0
helping,0.01,0.0
hero,0.01,0.0
heroic,0.01,0.0
heroically,0.01,0.0
heroine,0.01,0.0
heroize,0.01,0.0
heros,0.01,0.0
high-quality,0.01,0.0
high-spirited,0.01,0.0
hilarious,0.01,0.0
holy,0.01,0.0
homage,0.01,0.0
honest,0.01,0.0
honesty,0.01,0.0
honor,0.01,0.0
honorable,0.01,0.0
honored,0.01,0.0
honoring,0.01,0.0
hooray,0.01,0.0
hopeful,0.01,0.0
hospitable,0.01,0.0
hot,0.01,0.0
hotcake,0.01,0.0
hotcakes,0.01,0.0
hottest,0.01,0.0
hug,0.01,0.0
humane,0.01,0.0
humble,0.01,0.0
humility,0.01,0.0
humor,0.01,0.0
humorous,0.01,0.0
humorously,0.01,0.0
humour,0.01,0.0
humourous,0.01,0.0
ideal,0.01,0.0
idealize,0.01,0.0
ideally,0.01,0.0
idol,0.01,0.0
idolize,0.01,0.0
idolized,0.01,0.0
idyllic,0.01,0.0
illuminate,0.01,0.0
illuminati,0.01,0.0
illuminating,0.01,0.0
illumine,0.01,0.0
illustrious,0.01,0.0
ilu,0.01,0.0
imaculate,0.01,0.0
imaginative,0.01,0.0
immaculate,0.01,0.0
immaculately,0.01,0.0
immense,0.01,0.0
impartial,0.01,0.0
impartiality,0.01,0.0
impartially,0.01,0.0
impassioned,0.01,0.0
impeccable,0.01,0.0
impeccably,0.01,0.0
important,0.01,0.0
impress,0.01,0.0
impressed,0.01,0.0
impresses,0.01,0.0
impressive,0.01,0.0
impressively,0.01,0.0
impressiveness,0.01,0.0
improve,0.01,0.0
improved,0.01,0.0
improvement,0.01,0.0
improvements,0.01,0.0
improves,0.01,0.0
improving,0.01,0.0
incredible,0.01,0.0
incredibly,0.01,0.0
indebted,0.01,0.0
individualized,0.01,0.0
indulgence,0.01,0.0
indulgent,0.01,0.0
industrious,0.01,0.0
inestimable,0.01,0.0
inestimably,0.01,0.0
inexpensive,0.01,0.0
infallibility,0.01,0.0
infallible,0.01,0.0
infallibly,0.01,0.0
influential,0.01,0.0
ingenious,0.01,0.0
ingeniously,0.01,0.0
ingenuity,0.01,0.0
ingenuous,0.01,0.0
ingenuously,0.01,0.0
innocuous,0.01,0.0
innovation,0.01,0.0
innovative,0.01,0.0
inpressed,0.01,0.0
insightful,0.01,0.0
insightfully,0.01,0.0
inspiration,0.01,0.0
inspirational,0.01,0.0
inspire,0.01,0.0
inspiring,0.01,0.0
instantly,0.01,0.0
instructive,0.01,0.0
instrumental,0.01,0.0
integral,0.01,0.0
integrated,0.01,0.0
intelligence,0.01,0.0
intelligent,0.01,0.0
intelligible,0.01,0.0
interesting,0.01,0.0
interests,0.01,0.0
intimacy,0.01,0.0
intimate,0.01,0.0
intricate,0.01,0.0
intrigue,0.01,0.0
intriguing,0.01,0.0
intriguingly,0.01,0.0
intuitive,0.01,0.0
invaluable,0.01,0.0
invaluablely,0.01,0.0
inventive,0.01,0.0
invigorate,0.01,0.0
invigorating,0.01,0.0
invincibility,0.01,0.0
invincible,0.01,0.0
inviolable,0.01,0.0
inviolate,0.01,0.0
invulnerable,0.01,0.0
irreplaceable,0.01,0.0
irreproachable,0.01,0.0
irresistible,0.01,0.0
irresistibly,0.01,0.0
issue-free,0.01,0.0
jaw-droping,0.01,0.0
jaw-dropping,0.01,0.0
jollify,0.01,0.0
jolly,0.01,0.0
jovial,0.01,0.0
joy,0.01,0.0
joyful,0.01,0.0
joyfully,0.01,0.0
joyous,0.01,0.0
joyously,0.01,0.0
jubilant,0.01,0.0
jubilantly,0.01,0.0
jubilate,0.01,0.0
jubilation,0.01,0.0
jubiliant,0.01,0.0
judicious,0.01,0.0
justly,0.01,0.0
keen,0.01,0.0
keenly,0.01,0.0
keenness,0.01,0.0
kid-friendly,0.01,0.0
kindliness,0.01,0.0
kindly,0.01,0.0
kindness,0.01,0.0
knowledgeable,0.01,0.0
kudos,0.01,0.0
large-capacity,0.01,0.0
laud,0.01,0.0
laudable,0.01,0.0
laudably,0.01,0.0
lavish,0.01,0.0
lavishly,0.01,0.0
law-abiding,0.01,0.0
lawful,0.01,0.0
lawfully,0.01,0.0
lead,0.01,0.0
leading,0.01,0.0
leads,0.01,0.0
lean,0.01,0.0
led,0.01,0.0
legendary,0.01,0.0
leverage,0.01,0.0
levity,0.01,0.0
liberate,0.01,0.0
liberation,0.01,0.0
liberty,0.01,0.0
lifesaver,0.01,0.0
light-hearted,0.01,0.0
lighter,0.01,0.0
likable,0.01,0.0
like,0.01,0.0
liked,0.01,0.0
likes,0.01,0.0
liking,0.01,0.0
lionhearted,0.01,0.0
lively,0.01,0.0
logical,0.01,0.0
long-lasting,0.01,0.0
lovable,0.01,0.0
lovably,0.01,0.0
love,0.01,0.0
loved,0.01,0.0
loveliness,0.01,0.0
lovely,0.01,0.0
lover,0.01,0.0
loves,0.01,0.0
loving,0.01,0.0
low-cost,0.01,0.0
low-price,0.01,0.0
low-priced,0.01,0.0
low-risk,0.01,0.0
lower-priced,0.01,0.0
loyal,0.01,0.0
loyalty,0.01,0.0
lucid,0.01,0.0
lucidly,0.01,0.0
luck,0.01,0.0
luckier,0.01,0.0
luckiest,0.01,0.0
luckiness,0.01,0.0
lucky,0.01,0.0
lucrative,0.01,0.0
luminous,0.01,0.0
lush,0.01,0.0
luster,0.01,0.0
lustrous,0.01,0.0
luxuriant,0.01,0.0
luxuriate,0.01,0.0
luxurious,0.01,0.0
luxuriously,0.01,0.0
luxury,0.01,0.0
lyrical,0.01,0.0
magic,0.01,0.0
magical,0.01,0.0
magnanimous,0.01,0.0
